latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.5,114.0,11.0,28800,Asia/Singapore,GMT+8

time,cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%)
2025-08-14T00:00,100,33,2,100
2025-08-14T01:00,100,32,0,100
2025-08-14T02:00,100,47,37,100
2025-08-14T03:00,100,42,48,100
2025-08-14T04:00,100,59,46,100
2025-08-14T05:00,100,75,54,100
2025-08-14T06:00,100,76,46,100
2025-08-14T07:00,100,80,56,100
2025-08-14T08:00,100,71,100,100
2025-08-14T09:00,100,78,99,100
2025-08-14T10:00,100,83,97,100
2025-08-14T11:00,100,82,100,100
2025-08-14T12:00,100,76,100,100
2025-08-14T13:00,100,68,100,100
2025-08-14T14:00,100,61,100,100
2025-08-14T15:00,100,54,100,100
2025-08-14T16:00,100,52,99,100
2025-08-14T17:00,100,39,66,100
2025-08-14T18:00,100,46,84,100
2025-08-14T19:00,100,42,59,100
2025-08-14T20:00,100,56,65,100
2025-08-14T21:00,100,62,92,100
2025-08-14T22:00,100,54,98,100
2025-08-14T23:00,95,58,50,79
2025-08-15T00:00,100,45,100,80
2025-08-15T01:00,99,50,72,94
2025-08-15T02:00,100,57,58,100
2025-08-15T03:00,100,60,0,100
2025-08-15T04:00,100,50,0,100
2025-08-15T05:00,100,59,0,100
2025-08-15T06:00,64,54,0,28
2025-08-15T07:00,44,44,0,9
2025-08-15T08:00,74,55,44,5
2025-08-15T09:00,72,54,43,4
2025-08-15T10:00,89,64,50,47
2025-08-15T11:00,100,77,47,100
2025-08-15T12:00,100,56,57,100
2025-08-15T13:00,100,62,43,100
2025-08-15T14:00,91,88,4,11
2025-08-15T15:00,84,74,23,1
2025-08-15T16:00,75,63,26,0
2025-08-15T17:00,53,43,23,0
2025-08-15T18:00,61,47,31,0
2025-08-15T19:00,70,43,43,12
2025-08-15T20:00,67,24,53,0
2025-08-15T21:00,47,28,34,0
2025-08-15T22:00,55,31,40,0
2025-08-15T23:00,44,39,12,0
2025-08-16T00:00,55,55,0,0
2025-08-16T01:00,73,59,36,0
2025-08-16T02:00,65,52,31,0
2025-08-16T03:00,49,49,0,0
2025-08-16T04:00,46,46,0,0
2025-08-16T05:00,47,47,0,0
2025-08-16T06:00,47,47,0,0
2025-08-16T07:00,85,36,0,68
2025-08-16T08:00,38,36,0,4
2025-08-16T09:00,58,58,0,0
2025-08-16T10:00,44,44,0,0
2025-08-16T11:00,47,47,0,0
2025-08-16T12:00,65,48,31,0
2025-08-16T13:00,46,36,27,0
2025-08-16T14:00,46,46,0,0
2025-08-16T15:00,62,36,45,0
2025-08-16T16:00,21,21,0,0
2025-08-16T17:00,23,23,0,0
2025-08-16T18:00,32,0,32,0
2025-08-16T19:00,38,0,38,0
2025-08-16T20:00,40,0,40,0
2025-08-16T21:00,19,0,19,0
2025-08-16T22:00,0,0,0,0
2025-08-16T23:00,7,7,0,0
2025-08-17T00:00,43,43,0,0
2025-08-17T01:00,55,55,0,0
2025-08-17T02:00,47,47,0,0
2025-08-17T03:00,45,45,0,0
2025-08-17T04:00,38,38,0,0
2025-08-17T05:00,33,33,0,0
2025-08-17T06:00,93,20,3,86
2025-08-17T07:00,88,31,38,70
2025-08-17T08:00,89,67,66,8
2025-08-17T09:00,83,32,67,24
2025-08-17T10:00,100,48,65,100
2025-08-17T11:00,100,45,69,100
2025-08-17T12:00,100,45,76,100
2025-08-17T13:00,90,50,70,39
2025-08-17T14:00,100,51,64,100
2025-08-17T15:00,100,53,85,100
2025-08-17T16:00,100,61,90,100
2025-08-17T17:00,100,55,96,100
2025-08-17T18:00,100,46,100,100
2025-08-17T19:00,100,53,100,100
2025-08-17T20:00,100,64,100,100
2025-08-17T21:00,100,58,99,100
2025-08-17T22:00,100,61,100,100
2025-08-17T23:00,100,59,66,100
2025-08-18T00:00,100,54,99,100
2025-08-18T01:00,100,81,92,100
2025-08-18T02:00,100,88,100,100
2025-08-18T03:00,100,46,95,100
2025-08-18T04:00,100,76,88,100
2025-08-18T05:00,100,87,96,100
2025-08-18T06:00,100,85,97,100
2025-08-18T07:00,100,95,93,100
